iter	Passed	Remaining
0	1	777
1	2	616
2	3	552
3	4	513
4	5	504
5	5	472
6	6	461
7	7	454
8	8	443
9	8	432
10	9	425
11	10	418
12	11	414
13	11	411
14	12	405
15	13	401
16	14	399
17	14	396
18	15	398
19	16	393
20	17	391
21	17	388
22	18	387
23	19	385
24	20	382
25	20	382
26	21	381
27	22	379
28	23	376
29	23	374
30	24	373
31	25	371
32	26	369
33	26	367
34	27	366
35	28	364
36	28	361
37	29	360
38	30	359
39	31	357
40	31	355
41	32	354
42	33	353
43	34	353
44	34	353
45	35	353
46	36	352
47	37	351
48	38	350
49	38	348
50	39	347
51	40	345
52	40	345
53	41	344
54	42	342
55	43	342
56	43	341
57	44	340
58	45	339
59	46	338
60	46	337
61	47	335
62	48	335
63	49	333
64	49	332
65	50	332
66	51	331
67	52	330
68	52	330
69	53	328
70	54	328
71	55	327
72	55	326
73	56	326
74	57	325
75	58	325
76	59	324
77	59	323
78	60	323
79	61	322
80	62	321
81	62	320
82	63	319
83	64	319
84	65	318
85	65	317
86	66	316
87	67	314
88	67	313
89	68	312
90	69	311
91	69	310
92	70	309
93	71	308
94	72	307
95	72	306
96	73	306
97	74	305
98	75	304
99	75	303
100	76	302
101	77	301
102	77	300
103	78	299
104	79	298
105	80	297
106	80	296
107	81	296
108	82	295
109	82	294
110	83	293
111	84	292
112	85	291
113	85	290
114	86	290
115	87	289
116	88	288
117	88	287
118	89	286
119	90	286
120	91	285
121	91	284
122	92	283
123	93	282
124	93	281
125	94	280
126	95	279
127	96	279
128	96	278
129	97	277
130	98	276
131	98	275
132	99	274
133	100	274
134	101	273
135	101	272
136	102	271
137	103	271
138	104	270
139	104	269
140	105	268
141	106	268
142	107	267
143	107	266
144	108	266
145	109	265
146	110	264
147	111	264
148	111	263
149	112	262
150	113	261
151	113	260
152	114	259
153	115	259
154	116	258
155	116	257
156	117	257
157	118	256
158	119	255
159	120	255
160	120	254
161	121	253
162	122	252
163	123	252
164	123	251
165	124	250
166	125	249
167	125	248
168	126	247
169	127	247
170	128	246
171	128	245
172	129	245
173	130	244
174	131	243
175	131	242
176	132	241
177	133	241
178	133	240
179	134	239
180	135	238
181	136	237
182	136	236
183	137	236
184	138	235
185	138	234
186	139	233
187	140	233
188	141	232
189	142	231
190	142	231
191	143	230
192	144	230
193	145	229
194	146	229
195	147	228
196	148	227
197	148	227
198	149	226
199	150	225
200	151	225
201	152	224
202	153	224
203	154	223
204	154	222
205	155	222
206	156	221
207	157	220
208	157	219
209	158	219
210	159	218
211	160	217
212	161	217
213	162	216
214	163	216
215	163	215
216	164	214
217	165	213
218	166	213
219	166	212
220	167	211
221	168	211
222	169	210
223	170	209
224	171	209
225	171	208
226	172	207
227	173	206
228	173	205
229	174	205
230	175	204
231	176	203
232	177	202
233	177	202
234	178	201
235	179	200
236	179	199
237	180	198
238	181	198
239	182	197
240	182	196
241	183	195
242	184	194
243	184	194
244	185	193
245	186	192
246	187	191
247	187	190
248	188	189
249	189	189
250	189	188
251	190	187
252	191	186
253	192	186
254	192	185
255	193	184
256	194	183
257	195	183
258	195	182
259	196	181
260	197	180
261	198	179
262	198	179
263	199	178
264	200	177
265	201	176
266	201	176
267	202	175
268	203	174
269	204	173
270	204	173
271	205	172
272	206	171
273	207	170
274	207	170
275	208	169
276	209	168
277	210	167
278	210	167
279	211	166
280	212	165
281	213	164
282	213	164
283	214	163
284	215	162
285	216	161
286	216	160
287	217	159
288	218	159
289	218	158
290	219	157
291	220	156
292	220	155
293	221	155
294	222	154
295	223	153
296	223	152
297	224	152
298	225	151
299	226	150
300	226	150
301	227	149
302	228	148
303	229	147
304	229	147
305	230	146
306	231	145
307	232	144
308	233	144
309	233	143
310	234	142
311	235	141
312	236	141
313	237	140
314	237	139
315	238	138
316	239	138
317	240	137
318	241	136
319	241	136
320	242	135
321	243	134
322	243	133
323	244	132
324	245	132
325	246	131
326	246	130
327	247	129
328	248	129
329	249	128
330	249	127
331	250	126
332	251	126
333	252	125
334	252	124
335	253	123
336	254	122
337	254	122
338	255	121
339	256	120
340	257	119
341	257	119
342	258	118
343	259	117
344	260	117
345	261	116
346	261	115
347	262	114
348	263	114
349	264	113
350	264	112
351	265	111
352	266	110
353	267	110
354	267	109
355	268	108
356	269	107
357	269	107
358	270	106
359	271	105
360	272	104
361	273	104
362	273	103
363	274	102
364	275	101
365	276	101
366	277	100
367	278	99
368	278	99
369	279	98
370	280	97
371	281	96
372	282	96
373	282	95
374	283	94
375	284	93
376	285	93
377	286	92
378	286	91
379	287	90
380	288	90
381	289	89
382	290	88
383	290	87
384	291	87
385	292	86
386	293	85
387	293	84
388	294	84
389	295	83
390	296	82
391	296	81
392	297	81
393	298	80
394	299	79
395	300	78
396	300	78
397	301	77
398	302	76
399	303	75
400	303	75
401	304	74
402	305	73
403	306	72
404	306	72
405	307	71
406	308	70
407	309	69
408	309	68
409	310	68
410	311	67
411	311	66
412	312	65
413	313	65
414	313	64
415	314	63
416	315	62
417	316	62
418	316	61
419	317	60
420	318	59
421	318	58
422	319	58
423	320	57
424	321	56
425	321	55
426	322	55
427	323	54
428	324	53
429	324	52
430	325	52
431	326	51
432	326	50
433	327	49
434	328	49
435	329	48
436	329	47
437	330	46
438	331	46
439	331	45
440	332	44
441	333	43
442	334	42
443	334	42
444	335	41
445	336	40
446	337	39
447	337	39
448	338	38
449	339	37
450	339	36
451	340	36
452	341	35
453	341	34
454	342	33
455	343	33
456	344	32
457	344	31
458	345	30
459	346	30
460	347	29
461	347	28
462	348	27
463	349	27
464	350	26
465	351	25
