model,target,mae,mae_baseline,rmse,skill
LinearRegression,MOR_MPa,3.6914706329871194,6.4010299723404245,5.100967596201832,0.42330052367534876
LinearRegression,WA_pct,0.0655518202179003,0.13797109929078014,0.14890429548066353,0.524887309336088
LinearRegression,Shrinkage_pct,0.288881657897712,0.44127659574468087,0.38790919418913117,0.345350148447808
RandomForest_native,MOR_MPa,2.6450388650948966,6.4010299723404245,4.293863866038966,0.5867791782690583
RandomForest_native,WA_pct,0.05862672429250906,0.13797109929078014,0.13743769714948306,0.575079675425716
RandomForest_native,Shrinkage_pct,0.19495312667672213,0.44127659574468087,0.3022994828669747,0.5582065113883347
RandomForest_wrapped,MOR_MPa,2.635481234965546,6.4010299723404245,4.284831497839906,0.5882723176810983
RandomForest_wrapped,WA_pct,0.059310485660137795,0.13797109929078014,0.1387984242010181,0.5701238450297599
RandomForest_wrapped,Shrinkage_pct,0.18735984614729592,0.44127659574468087,0.2872029595749149,0.5754140419998598
MLP,MOR_MPa,4.919549063446403,6.4010299723404245,7.353220488851124,0.23144414497286658
MLP,WA_pct,0.0748685582996091,0.13797109929078014,0.1524454469953984,0.4573605727253043
MLP,Shrinkage_pct,0.20500211261828785,0.44127659574468087,0.3687483597618271,0.5354339781552783
XGB,MOR_MPa,2.7997513536214185,6.4010299723404245,4.450050765700371,0.5626092416815011
XGB,WA_pct,0.06465539002021153,0.13797109929078014,0.13958452210693903,0.5313845410193662
XGB,Shrinkage_pct,0.2117211929957072,0.44127659574468087,0.3281255940800777,0.520207518283595
LGBM,MOR_MPa,2.8287508702996575,6.4010299723404245,4.471491743035442,0.5580787962995002
LGBM,WA_pct,0.06131964766364165,0.13797109929078014,0.12857902331302207,0.5555616503829703
LGBM,Shrinkage_pct,0.20360522958214655,0.44127659574468087,0.32094862253079687,0.5385995279478839
CatBoost,MOR_MPa,2.5253004490641424,6.4010299723404245,4.396626898910232,0.605485295338992
CatBoost,WA_pct,0.056991839100989726,0.13797109929078014,0.12918299674036918,0.5869291511486987
CatBoost,Shrinkage_pct,0.20246689013337402,0.44127659574468087,0.300109330524998,0.5411791785791428
