AG98,AG22,AG23,SodaF,PotashF,Crushing,ETP,NaSil,MOR_kgf_mm2,WA_fraction,Shrinkage_pct
16.49,3.721,14.541,38.544,20.272,2.272,2.272,0.933,4.268,0.01015,10.23
16.263,2.997,13.33,42.827,17.494,3.46,2.933,0.697,5.9275,0.01234,11.56
17.224,3.055,13.049,38.569,20.012,4.008,3.377,0.705,6.1935,0.009615,11.32
18.631,3.209,12.299,40.477,18.641,2.969,2.906,0.868,4.7295,0.01223,10.8
18.288,3.531,11.694,38.474,20.491,3.171,3.04,1.311,6.282,0.009109,11.18
16.078,3.726,13.321,42.473,17.784,3.104,2.624,0.889,4.5275,0.008562,10.27
15,2.5,10,37,15,2,2,0.5,6.379,0.003249,11.63
20,4,15,43,22,3.5,3.1,1.5,5.16,0.002542,10.88
18.53,3.21,12.84,40.215,18.502,3.12,2.41,0.905,5.421,0.00891,10.95
15.82,3.8,14.21,38.512,20.105,2.51,2.804,1.202,6.152,0.007612,11.32
20.21,4.12,11.53,42.805,16.201,2.8,2.12,0.701,4.893,0.00982,10.48
16.54,2.91,13.82,39.812,19.504,3.51,2.6,1.103,5.781,0.008115,11.08
19.12,3.52,12.21,41.508,17.802,2.92,2.31,0.804,5.124,0.00931,10.72
14.83,4.21,15.12,37.214,21.301,2.81,3.1,1.302,6.452,0.007105,11.58
21.31,3.11,10.81,43.505,15.503,3.2,2.01,0.602,4.651,0.01021,10.25
17.21,3.6,13.54,40.112,18.901,3.02,2.5,1.001,5.553,0.008512,10.88
15.21,4.01,14.81,38.005,20.502,2.6,2.91,1.403,6.682,0.00681,11.72
19.84,3.3,11.92,42.208,17.104,3.11,2.2,0.702,4.981,0.009615,10.55
16.81,3.42,13.21,39.514,19.802,2.71,2.8,1.104,5.823,0.00791,11.12
20.53,3.81,11.2,41.805,16.801,3,2.42,0.801,5.052,0.009412,10.62
14.51,4.3,15.52,37.508,21.003,2.91,3,1.502,6.821,0.00651,11.85
18.22,3.01,12.5,40.812,18.201,3.3,2.31,0.903,5.382,0.009015,10.82
17.51,3.7,13.02,39.205,19.202,2.82,2.7,1.201,6.023,0.00771,11.25
21.01,3.22,10.51,43.208,16.001,3.01,2.1,0.603,4.721,0.010012,10.32
15.51,4.1,14.53,37.812,20.802,2.7,3.01,1.304,6.522,0.00701,11.65
19.51,3.4,12.01,41.205,17.503,3.21,2.2,0.802,5.183,0.009215,10.68
16.21,3.51,13.6,39.808,19.601,2.9,2.62,1.101,5.852,0.00801,11.15
20.81,3,11.02,42.512,16.502,3.1,2.01,0.703,4.821,0.009712,10.42
14.21,4.42,15.8,37.005,21.501,2.81,3.2,1.402,6.753,0.00671,11.78
18.81,3.3,12.31,40.508,18.002,3,2.41,0.901,5.282,0.009115,10.78
17.01,3.81,13.3,39.012,19.401,2.62,2.9,1.203,6.081,0.00761,11.28
21.51,3.1,10.32,43.805,15.803,3.2,1.91,0.601,4.582,0.010312,10.18
15.01,4.2,15.21,37.308,21.202,2.91,3.1,1.504,6.883,0.00641,11.88
19.21,3.52,12.1,41.012,17.601,3.1,2.32,0.802,5.151,0.009315,10.65
16.51,3.6,13.42,39.605,19.702,2.8,2.71,1.103,5.882,0.00791,11.18
20.22,3.21,11.3,42.008,16.901,3.02,2.1,0.701,4.923,0.009512,10.52
14.81,4.3,15.63,37.212,21.302,2.71,3.2,1.401,6.721,0.00661,11.82
18.52,3.1,12.6,40.605,18.301,3.2,2.32,0.902,5.353,0.009015,10.85
17.31,3.72,13.1,39.308,19.302,2.91,2.6,1.204,6.052,0.00771,11.22
17.81,3.4,12.91,40.312,18.701,3,2.51,1.001,5.621,0.008412,10.92
15.31,4.01,14.6,38.205,20.402,2.72,3,1.303,6.582,0.00691,11.68
20.12,3.3,11.42,42.308,17.001,2.9,2.21,0.702,4.953,0.009615,10.5
16.41,3.62,13.5,39.712,19.502,2.81,2.7,1.201,5.951,0.00781,11.18
19.31,3.2,12.13,41.105,17.703,3.1,2.32,0.803,5.222,0.009212,10.7
14.61,4.3,15.42,37.408,21.101,2.92,3.1,1.402,6.783,0.00661,11.82
21.21,3.01,10.7,43.412,15.902,3.2,2.01,0.601,4.681,0.010115,10.28
17.11,3.7,13.23,39.405,19.301,2.9,2.62,1.104,5.852,0.00801,11.12
15.71,4.1,14.3,38.108,20.602,2.61,2.9,1.301,6.483,0.007112,11.62
